Date,A_GH_ft,A_GHTW_ft,A1_D-SP_inches,A2_D-SP_inches,B1_D-SP_inches,B2_D-SP_inches,C_D-MGH_ft,D_D-MGH_ft,E_D-MGH_ft,F_D-MGH_ft,G_MaxRH_%,G_MinRH_%,G_MeanRH_%
1714521600000000000,8.3,5.0,0.0,0.0,0.0,0.0,92.7,12.3,6.7,3.2,93.8,48.3,74.5
1714608000000000000,8.3,4.8,0.2,0.3,0.4,0.2,92.7,12.3,6.7,3.1,96.0,70.9,84.6
1714694400000000000,8.3,4.8,0.0,0.1,0.0,0.0,92.7,12.3,6.7,3.1,100.0,34.3,67.7
1714780800000000000,8.4,4.8,0.6,0.8,0.6,0.5,92.7,12.3,6.7,3.2,98.3,57.7,79.5
1714867200000000000,8.4,5.3,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.2,99.8,44.4,71.5
1714953600000000000,8.4,5.1,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.1,92.6,45.9,68.8
1715040000000000000,8.4,5.5,1.8,1.2,1.4,1.4,92.7,12.2,6.7,3.2,99.8,59.3,86.0
1715126400000000000,8.6,6.6,0.0,0.0,0.2,0.0,92.7,12.3,6.8,3.2,97.8,44.4,80.4
1715212800000000000,8.6,6.6,0.1,0.2,0.2,0.1,92.7,12.3,6.8,3.2,95.6,74.3,84.5
1715299200000000000,8.6,6.6,0.1,0.1,0.2,0.2,92.7,12.3,6.8,3.3,99.0,32.7,72.0
1715385600000000000,8.6,6.6,0.0,0.0,0.0,0.0,92.7,12.3,6.8,3.3,94.7,43.7,73.6
1715472000000000000,8.5,6.5,0.0,0.0,0.0,0.0,92.7,12.2,6.8,3.3,90.9,38.0,64.9
1715558400000000000,8.4,6.5,0.0,0.1,0.1,0.1,92.7,12.2,6.8,3.3,95.9,51.0,71.7
1715644800000000000,8.3,6.1,0.0,0.0,0.0,0.0,92.7,12.2,6.8,3.3,90.6,58.4,73.9
1715731200000000000,8.3,5.9,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.3,95.4,39.2,70.2
1715817600000000000,8.3,5.9,0.1,0.0,0.0,0.0,92.6,12.2,6.7,3.3,100.0,57.4,84.1
1715904000000000000,8.3,6.0,0.0,0.0,0.0,0.0,92.6,12.2,6.7,3.3,100.0,42.6,74.1
1715990400000000000,8.3,6.0,0.0,0.0,0.0,0.0,92.6,12.2,6.7,3.3,94.0,38.4,67.2
1716076800000000000,8.3,6.0,0.0,0.0,0.0,0.0,92.6,12.1,6.7,3.3,93.8,31.3,57.5
1716163200000000000,8.2,6.0,0.5,0.7,0.2,0.5,92.6,12.2,6.7,3.3,100.0,58.8,88.1
1716249600000000000,8.2,6.3,0.1,0.1,0.2,0.0,92.6,12.2,6.7,3.4,100.0,72.7,90.8
