Date,A_GH_ft,A_GHTW_ft,A1_D-SP_inches,A2_D-SP_inches,B1_D-SP_inches,B2_D-SP_inches,C_D-MGH_ft,D_D-MGH_ft,E_D-MGH_ft,F_D-MGH_ft,G_MaxRH_%,G_MinRH_%,G_MeanRH_%
2023-08-29,8.3,4.8,0.2,0.3,0.4,0.2,92.7,12.3,6.7,3.1,96.0,70.9,84.6
2023-08-30,8.3,4.8,0.2,0.3,0.4,0.2,92.7,12.3,6.7,3.1,96.0,70.9,84.6
2023-08-31,8.3,4.8,0.2,0.3,0.4,0.2,92.7,12.3,6.7,3.1,96.0,70.9,84.6
2023-09-01,8.3,4.8,0.0,0.1,0.0,0.0,92.7,12.3,6.7,3.1,100.0,34.3,67.7
2023-09-02,8.3,4.8,0.0,0.1,0.0,0.0,92.7,12.3,6.7,3.1,100.0,34.3,67.7
2023-09-03,8.3,4.8,0.0,0.1,0.0,0.0,92.7,12.3,6.7,3.1,100.0,34.3,67.7
2023-09-04,8.3,4.8,0.0,0.1,0.0,0.0,92.7,12.3,6.7,3.1,100.0,34.3,67.7
2023-09-05,8.4,4.8,0.6,0.8,0.6,0.5,92.7,12.3,6.7,3.2,98.3,57.7,79.5
2023-09-06,8.4,4.8,0.6,0.8,0.6,0.5,92.7,12.3,6.7,3.2,98.3,57.7,79.5
2023-09-07,8.4,4.8,0.6,0.8,0.6,0.5,92.7,12.3,6.7,3.2,98.3,57.7,79.5
2023-09-08,8.4,4.8,0.6,0.8,0.6,0.5,92.7,12.3,6.7,3.2,98.3,57.7,79.5
2023-09-09,8.4,5.3,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.2,99.8,44.4,71.5
2023-09-10,8.4,5.3,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.2,99.8,44.4,71.5
2023-09-11,8.4,5.3,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.2,99.8,44.4,71.5
2023-09-12,8.4,5.3,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.2,99.8,44.4,71.5
2023-09-13,8.4,5.1,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.1,92.6,45.9,68.8
2023-09-14,8.4,5.1,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.1,92.6,45.9,68.8
2023-09-15,8.4,5.1,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.1,92.6,45.9,68.8
2023-09-16,8.4,5.1,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.1,92.6,45.9,68.8
2023-09-17,8.4,5.5,1.8,1.2,1.4,1.4,92.7,12.2,6.7,3.2,99.8,59.3,86.0
2023-09-18,8.4,5.5,1.8,1.2,1.4,1.4,92.7,12.2,6.7,3.2,99.8,59.3,86.0
2023-09-19,8.4,5.5,1.8,1.2,1.4,1.4,92.7,12.2,6.7,3.2,99.8,59.3,86.0
2023-09-20,8.4,5.5,1.8,1.2,1.4,1.4,92.7,12.2,6.7,3.2,99.8,59.3,86.0
2023-09-21,8.6,6.6,0.0,0.0,16.7,0.0,92.7,12.3,6.8,3.2,97.8,44.4,80.4
2023-09-22,8.6,6.6,0.0,0.0,16.7,0.0,92.7,12.3,6.8,3.2,97.8,44.4,80.4
2023-09-23,8.6,6.6,0.0,0.0,16.7,0.0,92.7,12.3,6.8,3.2,97.8,44.4,80.4
2023-09-24,8.6,6.6,0.0,0.0,16.7,0.0,92.7,12.3,6.8,3.2,97.8,44.4,80.4
2023-09-25,8.6,6.6,0.1,0.2,0.2,0.1,92.7,12.3,6.8,3.2,95.6,74.3,84.5
2023-09-26,8.6,6.6,0.1,0.2,0.2,0.1,92.7,12.3,6.8,3.2,95.6,74.3,84.5
2023-09-27,8.6,6.6,0.1,0.2,0.2,0.1,92.7,12.3,6.8,3.2,95.6,74.3,84.5
2023-09-28,8.6,6.6,0.1,0.2,0.2,0.1,92.7,12.3,6.8,3.2,95.6,74.3,84.5
2023-09-29,8.6,6.6,0.1,0.1,0.2,0.2,92.7,12.3,6.8,3.3,99.0,32.7,72.0
2023-09-30,8.6,6.6,0.1,0.1,0.2,0.3,92.7,12.3,6.8,3.3,99.0,32.7,72.0
2023-10-01,8.6,6.6,0.1,0.1,0.2,0.3,92.7,12.3,6.8,3.3,99.0,32.7,72.0
2023-10-02,8.6,6.6,0.1,0.1,0.2,0.3,92.7,12.3,6.8,3.3,99.0,32.7,72.0
2023-10-03,8.6,6.6,0.0,0.0,0.0,0.0,92.7,12.3,6.8,3.3,94.7,43.7,73.6
2023-10-04,8.6,6.6,0.0,0.0,0.0,0.0,92.7,12.3,6.8,3.3,94.7,43.7,73.6
2023-10-05,8.6,6.6,0.0,0.0,0.0,0.0,92.7,12.3,6.8,3.3,94.7,43.7,73.6
2023-10-06,8.6,6.6,0.0,0.0,0.0,0.0,92.7,12.3,6.8,3.3,94.7,43.7,73.6
2023-10-07,8.5,6.5,0.0,0.0,0.0,0.0,92.7,12.2,6.8,3.3,90.9,38.0,64.9
2023-10-08,8.5,6.5,0.0,0.0,0.0,0.0,92.7,12.2,6.8,3.3,90.9,38.0,64.9
2023-10-09,8.5,6.5,0.0,0.0,0.0,0.0,92.7,12.2,6.8,3.3,90.9,38.0,64.9
2023-10-10,8.5,6.5,0.0,0.0,0.0,0.0,92.7,12.2,6.8,3.3,90.9,38.0,64.9
2023-10-11,8.4,6.5,0.0,0.1,0.1,0.1,92.7,12.2,6.8,3.3,95.9,51.0,71.7
2023-10-12,8.4,6.5,0.0,0.1,0.1,0.1,92.7,12.2,6.8,3.3,95.9,51.0,71.7
